scenario_id,theta1_deg,theta2_deg,overlap
politeness-apology-003,63.94701568,75.8179349,0.1264627103
politeness-apology-013,52.7805893,72.3055653,0.229123132
politeness-apology-043,65.44418495,69.71943501,0.1464250003
politeness-apology-057,66.67048787,71.85341676,0.1269156157
politeness-apology-065,57.76749431,70.90240824,0.1957572322
politeness-apology-067,65.9882806,75.97542872,0.1121572139
politeness-apology-081,59.22627734,77.76847447,0.1533351556
politeness-apology-098,69.70845011,82.94889308,0.06766854223
politeness-bad-news-delivery-020,61.36435939,74.92974218,0.1486353451
politeness-bad-news-delivery-028,52.78981372,74.31397612,0.219404448
politeness-bad-news-delivery-066,49.7027898,75.11687722,0.2421299702
politeness-bad-news-delivery-073,56.86029963,75.79124406,0.1795549709
politeness-complaint-030,50.53212328,59.30926362,0.3322786685
politeness-complaint-032,49.95871805,64.32022642,0.3008349749
politeness-complaint-040,45.6860549,69.55862287,0.3050009866
politeness-complaint-049,54.41812697,63.38243499,0.2696507116
politeness-complaint-063,60.65500349,79.55079915,0.1365293088
politeness-complaint-072,51.25011893,80.37068741,0.2098792386
politeness-complaint-089,49.06512318,62.30256422,0.3226646838
politeness-correction-002,62.62109231,68.24873992,0.1744055289
politeness-correction-005,56.81995507,63.73094191,0.2476948115
politeness-correction-007,64.89349382,76.34641742,0.1178762329
politeness-correction-024,66.10921992,73.17773474,0.1238875342
politeness-correction-027,61.18441128,86.37320895,0.1181589167
politeness-correction-045,51.41464647,61.12175418,0.3111085718
politeness-correction-051,70.20475252,82.02416587,0.06697178888
politeness-correction-076,62.5045451,73.08642149,0.1488932265
politeness-correction-087,60.05217323,67.43383225,0.1982379837
politeness-criticism-or-feedback-023,59.3645747,78.46986027,0.1498092621
politeness-criticism-or-feedback-036,55.97604239,79.054057,0.1745699639
politeness-criticism-or-feedback-041,69.55982636,77.19305599,0.08554855759
politeness-criticism-or-feedback-050,55.69196648,68.70753081,0.2247773309
politeness-criticism-or-feedback-054,60.71651266,73.59524867,0.1595054299
politeness-criticism-or-feedback-071,57.36601242,70.36004264,0.2018907486
politeness-criticism-or-feedback-099,52.99847085,67.07631634,0.2569604427
politeness-criticism-or-feedback-100,59.54400836,77.02161342,0.1536807145
politeness-disagreement-012,57.36104258,75.07641379,0.1786066928
politeness-disagreement-035,61.13362828,79.74648692,0.1323753881
politeness-disagreement-047,61.39600588,83.88572887,0.1202746218
politeness-disagreement-048,56.83923578,75.38132121,0.1814481259
politeness-disagreement-075,71.09328531,79.01411367,0.07065509278
politeness-disagreement-086,68.7513785,85.79451674,0.06836145033
politeness-inquiry-sensitive-008,61.00117927,72.35155362,0.163469225
politeness-inquiry-sensitive-009,54.84717978,63.74086107,0.2636222786
politeness-inquiry-sensitive-016,62.33966182,69.42641834,0.1694987965
politeness-inquiry-sensitive-092,72.42184484,85.85340412,0.04821821443
politeness-refusal-038,60.89434367,86.01415883,0.120718822
politeness-refusal-058,58.02980576,67.04783376,0.2162088692
politeness-refusal-064,54.20276407,72.62560272,0.2156501208
politeness-refusal-069,55.53032098,88.21522282,0.1606460488
politeness-refusal-077,52.30375977,66.09022441,0.2690839693
politeness-refusal-080,56.40100941,82.76652874,0.1610399982
politeness-refusal-083,61.10820352,71.02187909,0.1696001783
politeness-refusal-090,52.91473884,72.88473815,0.2251109329
politeness-reminder-017,57.19200814,66.68321699,0.2251219751
politeness-reminder-018,52.55796225,64.74666144,0.2758097176
politeness-reminder-019,53.54051693,63.98313467,0.2727696553
politeness-reminder-021,63.86522271,65.52403047,0.1828401866
politeness-reminder-079,56.55298768,62.93606745,0.2553971561
politeness-reminder-094,61.12141993,71.09808514,0.1690942835
politeness-request-001,60.59855569,68.48154606,0.187775471
politeness-request-006,52.74186209,85.62544021,0.1861678805
politeness-request-025,62.92845965,89.74446526,0.1035691653
politeness-request-029,44.61754534,89.58873575,0.2533632082
politeness-request-031,59.96392238,72.96514274,0.168183615
politeness-request-037,55.65772186,74.97135902,0.1927431399
politeness-request-053,61.70688836,81.54939381,0.1231277762
politeness-request-056,72.56172625,82.54220278,0.05332698542
politeness-request-061,56.39788154,89.86637494,0.1531408657
politeness-request-074,61.80935886,66.08846836,0.1937285095
politeness-request-093,65.90511614,74.51099526,0.1189923738
politeness-request-097,51.05880129,69.01830659,0.2616271969
