scenario_id,scenario_title,level,x,y
politeness-refusal-080,080,negative,-7.455060205,-1.44436726
politeness-refusal-080,080,neutral,1.06622736,1.452887408
politeness-refusal-080,080,positive,6.388832845,-0.008520147535
politeness-apology-013,013,negative,-8.678020884,-3.459147252
politeness-apology-013,013,neutral,4.651728746,2.14404108
politeness-apology-013,013,positive,4.026292138,1.315106172
politeness-criticism-or-feedback-054,or-feedback-054,negative,-5.624961662,-5.059654977
politeness-criticism-or-feedback-054,or-feedback-054,neutral,3.689602845,1.560046958
politeness-criticism-or-feedback-054,or-feedback-054,positive,1.935358817,3.499608018
politeness-disagreement-048,048,negative,-6.518370669,-5.328203078
politeness-disagreement-048,048,neutral,4.166566545,6.285478195
politeness-disagreement-048,048,positive,2.351804124,-0.957275117
politeness-correction-005,005,negative,-6.02366873,6.67712968
politeness-correction-005,005,neutral,1.774157165,4.984900192
politeness-correction-005,005,positive,4.249511566,-11.66202987
politeness-complaint-030,030,negative,-6.017504637,-5.45182468
politeness-complaint-030,030,neutral,0.3062715871,13.78580549
politeness-complaint-030,030,positive,5.71123305,-8.333980815
politeness-complaint-072,072,negative,-9.087568527,-4.582586912
politeness-complaint-072,072,neutral,4.469164262,11.38809464
politeness-complaint-072,072,positive,4.618404265,-6.805507728
politeness-apology-043,043,negative,-6.372926142,3.381840819
politeness-apology-043,043,neutral,3.820748251,6.740503781
politeness-apology-043,043,positive,2.552177892,-10.1223446
politeness-refusal-038,038,negative,-4.891443366,-5.435503255
politeness-refusal-038,038,neutral,2.605910022,3.537892499
politeness-refusal-038,038,positive,2.285533344,1.897610755
politeness-reminder-019,019,negative,-6.688893926,-4.789127077
politeness-reminder-019,019,neutral,1.840477209,8.412465712
politeness-reminder-019,019,positive,4.848416718,-3.623338635
politeness-request-037,037,negative,-7.363096932,-4.127112641
politeness-request-037,037,neutral,4.012913401,0.7127129234
politeness-request-037,037,positive,3.350183532,3.414399717
politeness-apology-067,067,negative,-5.662032963,-2.30676026
politeness-apology-067,067,neutral,1.271225643,1.726364142
politeness-apology-067,067,positive,4.39080732,0.580396118
