scenario_id,midpoint_residual,pc1_frac
politeness-apology-003,0.8471552152,0.6636309541
politeness-apology-013,0.5442531339,0.7195101989
politeness-apology-043,0.7073677029,0.6041115783
politeness-apology-057,0.607835259,0.7872637648
politeness-apology-065,0.685556617,0.6508899838
politeness-apology-067,0.7810041866,0.5522542982
politeness-apology-081,0.6515394515,0.7434004221
politeness-apology-098,0.76640497,0.65676765
politeness-bad-news-delivery-020,0.6944543119,0.6653203501
politeness-bad-news-delivery-028,0.6593621634,0.8140092885
politeness-bad-news-delivery-066,0.6870418592,0.7451549713
politeness-bad-news-delivery-073,0.7378204729,0.7185507316
politeness-complaint-030,0.9396226098,0.5743449236
politeness-complaint-032,0.8329317767,0.7365928432
politeness-complaint-040,0.7211350141,0.6568129549
politeness-complaint-049,0.7817507774,0.5517206323
politeness-complaint-063,0.5630989404,0.7129461045
politeness-complaint-072,0.8358053159,0.5593744258
politeness-complaint-089,0.7224208155,0.6355027781
politeness-correction-002,0.7911686742,0.7183879891
politeness-correction-005,0.5711658946,0.7423116023
politeness-correction-007,0.8081855581,0.5597701219
politeness-correction-024,0.6302827092,0.7657559908
politeness-correction-027,0.6586209696,0.7285043955
politeness-correction-045,0.9040805001,0.6483478342
politeness-correction-051,0.6786864036,0.6205311152
politeness-correction-076,0.9713423846,0.768366834
politeness-correction-087,1.04939118,0.5975886051
politeness-criticism-or-feedback-023,0.9094592975,0.7159116476
politeness-criticism-or-feedback-036,0.5985010746,0.7977726847
politeness-criticism-or-feedback-041,0.6246372476,0.6879557317
politeness-criticism-or-feedback-050,0.6961586349,0.7104516027
politeness-criticism-or-feedback-054,0.8532416897,0.684224447
politeness-criticism-or-feedback-071,0.8378921832,0.5210867339
politeness-criticism-or-feedback-099,0.7463122319,0.6947799754
politeness-criticism-or-feedback-100,0.7622835725,0.758399652
politeness-disagreement-012,0.8381044535,0.520075357
politeness-disagreement-035,0.9958335933,0.571611994
politeness-disagreement-047,0.5276177448,0.7396410558
politeness-disagreement-048,1.00752409,0.5962515411
politeness-disagreement-075,0.9835950995,0.6589740064
politeness-disagreement-086,0.5848357473,0.6964035301
politeness-inquiry-sensitive-008,1.043047599,0.6683119737
politeness-inquiry-sensitive-009,0.5915825801,0.6944581791
politeness-inquiry-sensitive-016,0.8020220854,0.5395077464
politeness-inquiry-sensitive-092,0.8072280783,0.5378829862
politeness-refusal-038,0.6054921193,0.7865629303
politeness-refusal-058,0.7057034697,0.6331702104
politeness-refusal-064,0.6449763826,0.6516499191
politeness-refusal-069,0.7436068333,0.5768380619
politeness-refusal-077,0.8574480513,0.5527093622
politeness-refusal-080,0.7676299948,0.6529202841
politeness-refusal-083,0.7866533762,0.6314327688
politeness-refusal-090,0.7433486939,0.645813878
politeness-reminder-017,0.772715748,0.5572562297
politeness-reminder-018,0.8249109913,0.5436066316
politeness-reminder-019,0.9031002336,0.6494386938
politeness-reminder-021,0.7112187117,0.7931312406
politeness-reminder-079,0.8229716789,0.6429374998
politeness-reminder-094,0.8057935634,0.8185294599
politeness-request-001,0.5920661406,0.713395673
politeness-request-006,0.80921822,0.6540073759
politeness-request-025,0.8804363613,0.5209104475
politeness-request-029,0.7197989594,0.7167248264
politeness-request-031,0.7649133955,0.7226044267
politeness-request-037,0.6779657272,0.6886082512
politeness-request-053,0.3794629088,0.8780002731
politeness-request-056,0.6936307479,0.6129904263
politeness-request-061,0.4380138571,0.8061081568
politeness-request-074,0.9263083889,0.6356272486
politeness-request-093,0.940727366,0.6561158607
politeness-request-097,0.8201510396,0.5738715743
