scenario_id,midpoint_residual,pc1_frac
politeness-apology-003,0.5522682115,0.719404178
politeness-apology-013,0.5228371055,0.7376158766
politeness-apology-043,0.6603362616,0.6440332634
politeness-apology-057,0.6258245261,0.7577828492
politeness-apology-065,0.7275074466,0.6172543822
politeness-apology-067,0.8523963765,0.5419220684
politeness-apology-081,0.6157980057,0.7764629286
politeness-apology-098,0.6289480072,0.7513742377
politeness-bad-news-delivery-020,0.6484037229,0.7120317542
politeness-bad-news-delivery-028,0.6597620811,0.7644464461
politeness-bad-news-delivery-066,0.8817100793,0.7264253172
politeness-bad-news-delivery-073,0.7212039166,0.6918273807
politeness-complaint-030,1.030122772,0.6644610279
politeness-complaint-032,0.8502110295,0.6509149924
politeness-complaint-040,0.9238274629,0.6336729398
politeness-complaint-049,0.6877047145,0.6914054923
politeness-complaint-063,0.6875151001,0.6134459266
politeness-complaint-072,0.9372759349,0.5413067901
politeness-complaint-089,0.8156294219,0.640524244
politeness-correction-002,0.8989000005,0.5280334411
politeness-correction-005,0.5886777123,0.6841835501
politeness-correction-007,1.020187039,0.5857454574
politeness-correction-024,0.820617922,0.6504378554
politeness-correction-027,0.6319139954,0.6568781517
politeness-correction-045,0.9231280772,0.5494154643
politeness-correction-051,0.684812605,0.6153004208
politeness-correction-076,0.7103080598,0.6873198715
politeness-correction-087,0.6927920754,0.646730991
politeness-criticism-or-feedback-023,0.9712441029,0.558227903
politeness-criticism-or-feedback-036,0.5899982905,0.7357871531
politeness-criticism-or-feedback-041,0.837982774,0.695933157
politeness-criticism-or-feedback-050,0.599681211,0.6946275354
politeness-criticism-or-feedback-054,1.015121482,0.6575053747
politeness-criticism-or-feedback-071,0.7667109128,0.6075386591
politeness-criticism-or-feedback-099,0.7048535743,0.7618040077
politeness-criticism-or-feedback-100,0.75833693,0.6807644906
politeness-disagreement-012,0.5495210006,0.7488999301
politeness-disagreement-035,0.6729942604,0.6323931847
politeness-disagreement-047,0.6653624819,0.6546332105
politeness-disagreement-048,0.7755432628,0.5692263798
politeness-disagreement-075,0.6434416717,0.6692786071
politeness-disagreement-086,0.6988864238,0.6245879571
politeness-inquiry-sensitive-008,0.8973560901,0.6667095383
politeness-inquiry-sensitive-009,0.6263444109,0.6641452428
politeness-inquiry-sensitive-016,0.7276073245,0.603017632
politeness-inquiry-sensitive-092,0.6319981654,0.6526950657
politeness-refusal-038,0.7639991176,0.7423295214
politeness-refusal-058,0.8333473114,0.5253935127
politeness-refusal-064,0.8086424991,0.5728487388
politeness-refusal-069,0.8043855033,0.5838257115
politeness-refusal-077,0.8972770757,0.517824785
politeness-refusal-080,0.7257093398,0.5878686977
politeness-refusal-083,0.7389801089,0.608029337
politeness-refusal-090,0.9042582578,0.6065820241
politeness-reminder-017,0.7912106463,0.6242772988
politeness-reminder-018,0.6645890887,0.6675204994
politeness-reminder-019,0.7717945294,0.5671417388
politeness-reminder-021,0.7357471574,0.6803472572
politeness-reminder-079,0.662249148,0.7108931102
politeness-reminder-094,0.8881829763,0.7412592804
politeness-request-001,0.80356171,0.6721625518
politeness-request-006,0.8786560007,0.6336882577
politeness-request-025,0.8897956831,0.5202356645
politeness-request-029,0.7091472138,0.6481006928
politeness-request-031,0.5881318147,0.801296073
politeness-request-037,0.6132236793,0.6779000432
politeness-request-053,0.6162900983,0.7467340223
politeness-request-056,0.6927243832,0.6139398732
politeness-request-061,0.6133925202,0.7036787854
politeness-request-074,0.7297623703,0.5857055734
politeness-request-093,0.7826653614,0.5568566112
politeness-request-097,0.759130881,0.6448398784
