scenario_id,scenario_title,level,x,y
politeness-refusal-080,080,negative,3.120210805,-19.74597003
politeness-refusal-080,080,neutral,-3.667481149,7.506109692
politeness-refusal-080,080,positive,0.5472703436,12.23986034
politeness-apology-013,013,negative,-18.69578161,30.12730326
politeness-apology-013,013,neutral,3.078174212,-0.9103309034
politeness-apology-013,013,positive,15.6176074,-29.21697236
politeness-criticism-or-feedback-054,or-feedback-054,negative,0.0660726259,-9.420856999
politeness-criticism-or-feedback-054,or-feedback-054,neutral,10.23764499,-20.26493298
politeness-criticism-or-feedback-054,or-feedback-054,positive,-10.30371761,29.68578998
politeness-disagreement-048,048,negative,-6.723081314,2.244774217
politeness-disagreement-048,048,neutral,5.703393391,-9.574604939
politeness-disagreement-048,048,positive,1.019687923,7.329830722
politeness-correction-005,005,negative,2.267271674,-17.50599246
politeness-correction-005,005,neutral,-5.382611284,13.73404342
politeness-correction-005,005,positive,3.115339609,3.771949047
politeness-complaint-030,030,negative,-31.44996229,60.85875853
politeness-complaint-030,030,neutral,12.8236704,-38.00281405
politeness-complaint-030,030,positive,18.62629188,-22.85594448
politeness-complaint-072,072,negative,6.725811089,-29.86874308
politeness-complaint-072,072,neutral,3.354854479,-3.14441207
politeness-complaint-072,072,positive,-10.08066557,33.01315515
politeness-apology-043,043,negative,-23.39589622,39.10610478
politeness-apology-043,043,neutral,10.38761451,-17.55504544
politeness-apology-043,043,positive,13.00828171,-21.55105934
politeness-refusal-038,038,negative,-3.764825777,-7.763265194
politeness-refusal-038,038,neutral,10.46500272,-17.01267173
politeness-refusal-038,038,positive,-6.700176943,24.77593692
politeness-reminder-019,019,negative,-11.74737404,17.39151861
politeness-reminder-019,019,neutral,9.823252335,-20.03713552
politeness-reminder-019,019,positive,1.924121705,2.645616903
politeness-request-037,037,negative,-4.919255188,-4.875088141
politeness-request-037,037,neutral,-5.57609201,17.89267793
politeness-request-037,037,positive,10.4953472,-13.01758979
politeness-apology-067,067,negative,-18.28735463,34.96702066
politeness-apology-067,067,neutral,5.988300223,-16.12629191
politeness-apology-067,067,positive,12.29905441,-18.84072876
