scenario_id,cos_valence,capture_valence,cos_bend
politeness-apology-003,0.4237400357,0.1795556179,0.2150430817
politeness-apology-013,0.4107113449,0.1686838088,0.3844531992
politeness-apology-043,0.2912483698,0.08482561293,0.4664362135
politeness-apology-057,0.3834016145,0.146996798,0.4716560012
politeness-apology-065,0.3466445616,0.1201624521,0.4996544506
politeness-apology-067,0.291326402,0.08487107253,0.374138759
politeness-apology-081,0.4948971496,0.2449231887,0.4187966596
politeness-apology-098,0.3518082548,0.1237690481,0.1858926054
politeness-bad-news-delivery-020,0.4672566704,0.218328796,0.1816815024
politeness-bad-news-delivery-028,0.3571610923,0.1275640459,0.552742854
politeness-bad-news-delivery-066,0.6114877385,0.3739172543,0.4201905252
politeness-bad-news-delivery-073,0.3882080964,0.1507055261,0.5648309985
politeness-complaint-030,0.4477309242,0.2004629804,0.7196685304
politeness-complaint-032,0.5015138715,0.2515161633,0.589213639
politeness-complaint-040,0.5546649809,0.3076532411,0.6315681085
politeness-complaint-049,0.3929052369,0.1543745252,0.4814587453
politeness-complaint-063,0.3588342026,0.128761985,0.2272879095
politeness-complaint-072,0.4686167317,0.2196016412,0.6203559335
politeness-complaint-089,0.5415604448,0.2932877154,0.6409317339
politeness-correction-002,0.5447599481,0.296763401,0.4659033483
politeness-correction-005,0.4215276159,0.1776855309,0.5240230007
politeness-correction-007,0.3941255819,0.1553349743,0.3741423837
politeness-correction-024,0.5552368284,0.3082879357,0.2277881971
politeness-correction-027,0.3587953923,0.1287341336,0.4076091743
politeness-correction-045,0.6169506441,0.3806280973,0.5484550086
politeness-correction-051,0.2035440805,0.04143019269,0.3161756548
politeness-correction-076,0.2858166714,0.08169116967,0.4883196585
politeness-correction-087,0.5079581921,0.2580215249,0.4997336942
politeness-criticism-or-feedback-023,0.3137946856,0.09846710468,0.1815573993
politeness-criticism-or-feedback-036,0.3030192791,0.0918206835,0.4869608154
politeness-criticism-or-feedback-041,0.3607780278,0.1301607853,0.1150249283
politeness-criticism-or-feedback-050,0.3780960803,0.142956646,0.5118887827
politeness-criticism-or-feedback-054,0.3355676923,0.1126056761,0.387632351
politeness-criticism-or-feedback-071,0.4315987537,0.1862774842,0.4857389616
politeness-criticism-or-feedback-099,0.5227236312,0.2732399946,0.4897854423
politeness-criticism-or-feedback-100,0.3599303899,0.1295498856,0.2514378097
politeness-disagreement-012,0.4633970789,0.2147368527,0.2818013183
politeness-disagreement-035,0.5421169729,0.2938908123,0.2621999571
politeness-disagreement-047,0.4960788751,0.2460942503,0.1712080773
politeness-disagreement-048,0.4459452926,0.198867204,0.5307764033
politeness-disagreement-075,0.4137984188,0.1712291314,0.1235174241
politeness-disagreement-086,0.3070014813,0.09424990954,-0.2227338963
politeness-inquiry-sensitive-008,0.4942577627,0.244290736,0.3874249981
politeness-inquiry-sensitive-009,0.4634572754,0.2147926461,0.4634231968
politeness-inquiry-sensitive-016,0.3457666545,0.1195545794,0.3209613469
politeness-inquiry-sensitive-092,0.1611066642,0.02595535725,0.08472380091
politeness-refusal-038,0.3439179398,0.1182795493,0.4959829058
politeness-refusal-058,0.5062140921,0.2562527071,0.4970941391
politeness-refusal-064,0.6303770653,0.3973752445,0.4283490507
politeness-refusal-069,0.5710614164,0.3261111413,0.09002713495
politeness-refusal-077,0.4834737956,0.233746911,0.5687936874
politeness-refusal-080,0.6281184912,0.394532839,0.08867621186
politeness-refusal-083,0.4982186819,0.248221855,0.4735759734
politeness-refusal-090,0.3775229013,0.142523541,0.4258120153
politeness-reminder-017,0.2635976624,0.06948372761,0.5906002482
politeness-reminder-018,0.5147481624,0.2649656707,0.6187140687
politeness-reminder-019,0.5677561913,0.3223470928,0.506308381
politeness-reminder-021,0.4081909027,0.166619813,0.4106767911
politeness-reminder-079,0.3958989387,0.1567359697,0.5611297003
politeness-reminder-094,0.2363065823,0.05584080086,0.5601849937
politeness-request-001,0.4729118715,0.2236456382,0.4766125419
politeness-request-006,0.4844517601,0.2346935079,0.1751535089
politeness-request-025,0.4376759799,0.1915602634,-0.06350029392
politeness-request-029,0.6667547115,0.4445618453,-0.03412964558
politeness-request-031,0.5722414835,0.3274603154,0.4531473092
politeness-request-037,0.4659850101,0.2171420297,0.348918982
politeness-request-053,0.4149165393,0.1721557346,0.1177439855
politeness-request-056,0.2163991896,0.04682860926,-0.02940479172
politeness-request-061,0.3074234822,0.09450919738,0.2608382053
politeness-request-074,0.2028063524,0.04113041658,0.406515095
politeness-request-093,0.4824077877,0.2327172736,0.4371120696
politeness-request-097,0.4128976293,0.1704844523,0.4805165889
