task_id,trait,item_a,item_b,item_c,item_d,most_target_like,least_target_like
politeness-bws-000,politeness,"I appreciate the invitation, yet I must decline because my weekend is already booked.",Your feedback would be much appreciated; please review the code patch and inform me of any problems you notice.,"Thank you for bringing this up; I sincerely regret that I’m unable to extend a discount, and I deeply value our partnership.",Thanks for thinking of me; I’m sorry I can’t fit the weekend project into my agenda.,,
politeness-bws-001,politeness,"I’m sorry, but I won’t be able to make it to the Friday dinner this time.","Rearrange the slide deck to give it a clearer, more logical structure.","A clearer, more detailed, and more explicit description of the data preprocessing steps in the methodology would significantly boost reviewers' understanding.",Thank you very much for the invitation; I’m truly sorry I must miss the Friday dinner.,,
politeness-bws-002,politeness,"Sorry I can’t be there for the weekend trek, but I’m looking forward to the next one.","Unlike the current vague outline, a precise and thorough description of the data preprocessing steps would dramatically improve the reviewers' grasp of the analysis.",Your biopsy results show malignant cells.,"My current workload leaves me without the capacity to join the weekend project, so I must pass.",,
politeness-bws-003,politeness,"Moving forward, we must replace the chi‑square test for this continuous data set, as its assumptions are breached.","We have processed your grade change request, and the standard procedure dictates that it remain unchanged.",I sincerely regret the two‑day delay in submitting the assignment; I understand the inconvenience caused and thank you for your understanding.,"I must urgently request a two‑day extension for the term paper, as meeting the current deadline is infeasible given my workload.",,
politeness-bws-004,politeness,"Our records show we inadvertently charged you a higher room rate than the advertised price, and we sincerely regret the error.","Your eagerness to help is appreciated, but I’m unable to approve overtime for the weekend at this time.","I appreciate the invitation, yet I must decline because my weekend is already booked.","Recognizing the potential impact on your timeline, we let you know that the software delivery will be delayed by two weeks because of unexpected schedule issues.",,
politeness-bws-005,politeness,"I must apologize for missing the grading deadline, as it inconvenienced the students.",Could you issue a two‑day extension for my term paper? I would be unable to finish by the existing due date.,I humbly apologize for the delay in the minutes and will send them to you promptly.,I take full responsibility for missing the meeting minutes; I’ll email them to you right away today.,,
politeness-bws-006,politeness,"Sorry, we mistakenly billed you at a higher room rate than what was advertised during your stay.","Rearrange the slide deck to give it a clearer, more logical structure.",The lack of a defined thesis points to a need for reshaping the essay.,Thank you for your patience; I’m sorry for the missed deadline and will work hard to realign the project schedule.,,
politeness-bws-007,politeness,"I wish I could help, yet our policy limits me from offering a discount currently.","I appreciate the creativity, though the slogan falls short and need a tweak.","The timing doesn’t work for me, I’ll miss the coffee‑break meeting.","If you could kindly reorganize the slide deck, a clearer structure would be appreciated.",,
politeness-bws-008,politeness,Hypertension meds need refilling by tomorrow; please ensure they're available for pickup.,"When customers aren’t interrupted, satisfaction rises; your assistance in this would be valuable.","If the assumptions are indeed breached, the chi‑square test would likely be unsuitable for this continuous data set.","I regret that I have to pass on the weekend strategy workshop, and I thank you for including me.",,
politeness-bws-009,politeness,I regret missing the assignment deadline and understand the inconvenience caused.,"I regret the two‑day tardiness in delivering the assignment and accept responsibility, hoping this does not trouble you.","I’m sorry, but I’m unable to provide a discount on this order under our current policy and pricing.","Given your work on this sorting algorithm, could we probe if it maximizes efficiency for large datasets, or try alternatives?",,
politeness-bws-010,politeness,"We appreciate your suggestion and acknowledge its value, yet we must decline providing a vegan‑only menu for the conference.","Hey, could you glance at the code patch and tell me what you think when you have a minute?",Please accept my apology for the two‑day delay in submitting the assignment; I acknowledge my fault and understand it may cause inconvenience.,Your work on the homepage is commendable; adding a clearer visual hierarchy would further guide users and elevate the design.,,
politeness-bws-011,politeness,"I kindly urge a prompt correction of the article’s quoted statistic, as its inaccuracy could mislead readers.",A quick reminder: try to let customers finish their thoughts to keep satisfaction from slipping further.,I deeply appreciate the invite and sincerely regret that I won’t be able to attend Friday’s dinner.,I reflect on the rationale and arrive at a reflective dissent concerning the proposal to eliminate flexible working hours for the team.,,
politeness-bws-012,politeness,Thank you for your patience; I’m sorry for the missed deadline and will work hard to realign the project schedule.,I recognize the inconvenience caused by the absent minutes and thank you for your understanding while I send them now.,"Although you applied, the loan is rejected as your credit score falls below the required threshold.","Given the venue's capacity restrictions, we cannot accommodate a vegan‑only menu for the conference.",,
politeness-bws-013,politeness,"Although you applied, the loan is rejected as your credit score falls below the required threshold.","Your consideration is valued, yet I offer a valued consideration that the removal of flexible working hours for the team is not advisable.","I’m grateful for your guidance, however I’m uneasy about medication X; let’s discuss.",I’m truly sorry for the lapse; I deeply regret the missing minutes and will forward them instantly.,,
politeness-bws-014,politeness,"It seems my delay in grading has inconvenienced the students, and I offer my sincere apology.","Unfortunately, I missed the assignment deadline and take full responsibility.","The visual layout feels dense with words, so following along becomes slightly challenging for viewers.","While acknowledging the time constraints, the inefficient loops in the latest commit could substantially jeopardize performance.",,
politeness-bws-015,politeness,I’m sorry for the mistaken financial report; I regret the oversight and will send the accurate document to the team without delay.,"Sorry, I won’t be able to join the weekend hike – something else came up.",I wonder whether starting medication X is the right choice for me.,"While I value your commitment, the weekend schedule cannot accommodate additional overtime, so I must say no.",,
politeness-bws-016,politeness,It is with sincere regret that I must forgo the Monday kickoff meeting due to an existing obligation.,We acknowledge the invoice was charged twice and will return the amount without delay.,I would be thankful if you reorganized the slide deck to achieve clearer structure.,"I’m skeptical that this sorting algorithm truly maximizes efficiency on large datasets, based solely on the current metrics.",,
politeness-bws-017,politeness,"I value the team's initiative, yet ethically I must point out that increasing the marketing budget could strain our fiduciary responsibilities at this stage.",My apologies for turning in the assignment two days late; I regret any inconvenience this may have caused you.,Just a reminder that the statistic quoted in the article is inaccurate and would benefit from correction.,It appears unlikely that raising the marketing budget would be prudent given our current financial limits.,,
politeness-bws-018,politeness,"I must apologize for missing the grading deadline, as it inconvenienced the students.","We thank you for your interest and, after careful consideration, must refuse to provide a vegan‑only menu for the conference.",Please be aware that your surgery has been rescheduled because the surgeon will not be available on the originally planned date.,"After careful review, we find that your loan request falls short of the credit standards, so we cannot approve it.",,
politeness-bws-019,politeness,"The current homepage arrangement shows no obvious visual hierarchy, making it feel disorganized and in need of a redesign.","I’m informing you that your biopsy results point to malignant cells, and I’m here to discuss next steps.","Having missed the assignment deadline, I am profoundly sorry and grateful for your patience.",Just now I realized the minutes weren’t sent; I’ll forward them to you immediately.,,
politeness-bws-020,politeness,"Thank you for bringing this up; I sincerely regret that I’m unable to extend a discount, and I deeply value our partnership.","I’m sorry for the inconvenience, however I am unable to be present at the public hearing.","Compared to the current brief mention, a fuller description of the data preprocessing steps would make the methodology clearer for the audience.",I’d be grateful if you could take a look at the code patch and let me know of issues you find.,,
politeness-bws-021,politeness,The slide deck is poorly organized; please reorganize it to improve its structure.,I’m low on personal bandwidth right now and can’t commit to the weekend project.,Please accept my apologies; I’m unable to attend the Friday dinner as planned.,The current slide deck needs a structural overhaul; reorganize the slides accordingly.,,
politeness-bws-022,politeness,"We regret to tell you the loan you applied for doesn't align with our credit requirements, leading to a refusal.",It is with sincere regret that I must forgo the Monday kickoff meeting due to an existing obligation.,Thank you for the suggestion; I have concerns about medication X and would discuss.,"Your application is valued, but the loan cannot be approved because, in our assessment, the credit score does not meet the needed criteria.",,
politeness-bws-023,politeness,"I recognize your willingness to work extra hours, yet I must decline the overtime request for this weekend.","Please accept my formal declination of the Monday project kickoff meeting, as I have a prior commitment that precludes my attendance.","From what I saw, the slides lean toward heavy text, making it a little tough to keep up.","Unfortunately, I missed the assignment deadline and take full responsibility.",,
politeness-bws-024,politeness,"I’m skeptical that this sorting algorithm truly maximizes efficiency on large datasets, based solely on the current metrics.",A critical evaluation reveals that the chi‑square test is unreliable for this continuous data set because its assumptions are violated.,I deeply apologize for missing the grading deadline and greatly appreciate your patience with the students’ inconvenience.,"Given the time pressure, the inefficient loops in the recent commit must be addressed immediately as they could impair performance.",,
politeness-bws-025,politeness,"Highlighting the data preprocessing workflow with a clear, step‑by‑step description in the methodology is essential for reviewers to fully understand the analysis.","Given the shortage of available staff, I must refuse the overtime request for the upcoming weekend.","While many results are benign, yours indicates malignant cells.","Apologizing for the oversight, we acknowledge that the room rate you received exceeded the advertised amount, causing inconvenience.",,
politeness-bws-026,politeness,"Your appeal was evaluated, and the outcome is that the final grade will not be revised.","The visual layout feels dense with words, so following along becomes slightly challenging for viewers.","Thank you for inviting me; I truly value it, but I’m unable to attend the coffee‑break meeting.",Just a reminder: the pull request is missing unit tests and needs to be revised before merging into the main branch.,,
