scenario_id,scenario_title,level,x,y
politeness-refusal-080,080,negative,-31.78967892,4.974958289
politeness-refusal-080,080,neutral,5.316678516,-1.025715009
politeness-refusal-080,080,positive,26.4730004,-3.94924328
politeness-apology-013,013,negative,-35.57028653,26.40099145
politeness-apology-013,013,neutral,9.594601326,-17.04503957
politeness-apology-013,013,positive,25.9756852,-9.355951875
politeness-criticism-or-feedback-054,or-feedback-054,negative,-18.74837889,11.4265725
politeness-criticism-or-feedback-054,or-feedback-054,neutral,3.315265987,-14.72543624
politeness-criticism-or-feedback-054,or-feedback-054,positive,15.4331129,3.298863742
politeness-disagreement-048,048,negative,-26.65171957,25.19445047
politeness-disagreement-048,048,neutral,12.68695754,-29.55421243
politeness-disagreement-048,048,positive,13.96476203,4.359761963
politeness-correction-005,005,negative,-28.37515384,-13.84335657
politeness-correction-005,005,neutral,3.599246677,-16.95536938
politeness-correction-005,005,positive,24.77590716,30.79872595
politeness-complaint-030,030,negative,-30.62929461,4.893963491
politeness-complaint-030,030,neutral,-1.021349829,-45.41079303
politeness-complaint-030,030,positive,31.65064444,40.51682954
politeness-complaint-072,072,negative,-26.68576584,12.24475361
politeness-complaint-072,072,neutral,22.27055704,-23.7314613
politeness-complaint-072,072,positive,4.415208804,11.48670769
politeness-apology-043,043,negative,-20.63923118,4.008541815
politeness-apology-043,043,neutral,2.554675544,-22.59488988
politeness-apology-043,043,positive,18.08455564,18.58634806
politeness-refusal-038,038,negative,-29.22019745,20.30256445
politeness-refusal-038,038,neutral,16.00340716,-10.96427816
politeness-refusal-038,038,positive,13.21679029,-9.338286291
politeness-reminder-019,019,negative,-30.58149753,14.20777371
politeness-reminder-019,019,neutral,2.665549144,-19.14021144
politeness-reminder-019,019,positive,27.91594839,4.93243773
politeness-request-037,037,negative,-29.93705244,11.41416752
politeness-request-037,037,neutral,7.701551652,-10.45042734
politeness-request-037,037,positive,22.23550079,-0.9637401779
politeness-apology-067,067,negative,-19.96371103,13.81783716
politeness-apology-067,067,neutral,5.229032439,-13.58071919
politeness-apology-067,067,positive,14.73467859,-0.2371179674
