scenario_id,cos_valence,capture_valence,cos_bend
politeness-apology-003,0.4378247005,0.1916904683,0.2433659584
politeness-apology-013,0.515444692,0.2656832305,0.4393746944
politeness-apology-043,0.3453155404,0.1192428224,0.3996866114
politeness-apology-057,0.2965674776,0.08795226879,0.3790885534
politeness-apology-065,0.3443841796,0.1186004631,0.4177317536
politeness-apology-067,0.3510379822,0.123227665,0.2945455932
politeness-apology-081,0.4238271286,0.1796294349,0.3641088733
politeness-apology-098,0.2759473548,0.07614694262,0.1528456152
politeness-bad-news-delivery-020,0.4618343052,0.2132909254,0.2710148955
politeness-bad-news-delivery-028,0.479199806,0.229632454,0.4605885977
politeness-bad-news-delivery-066,0.5502893432,0.3028183612,0.3971468146
politeness-bad-news-delivery-073,0.4186962419,0.175306543,0.4356779337
politeness-complaint-030,0.5200824936,0.2704858001,0.6205583119
politeness-complaint-032,0.5852933131,0.3425682624,0.5201084966
politeness-complaint-040,0.6038475037,0.3646318078,0.5054581131
politeness-complaint-049,0.5012169532,0.2512184341,0.5101804457
politeness-complaint-063,0.3765132528,0.1417622295,0.2719678638
politeness-complaint-072,0.2968414492,0.08811484599,0.455289538
politeness-complaint-089,0.4624306349,0.2138420921,0.5865521486
politeness-correction-002,0.4437788636,0.1969396798,0.3922797505
politeness-correction-005,0.4769793605,0.2275093103,0.4608614311
politeness-correction-007,0.2500588902,0.06252944855,0.3995705581
politeness-correction-024,0.4035992658,0.1628923673,0.2431825747
politeness-correction-027,0.2834266368,0.08033065844,0.2477014228
politeness-correction-045,0.585828471,0.3431949975,0.5191884529
politeness-correction-051,0.1548702155,0.02398478365,0.3101367619
politeness-correction-076,0.2207586075,0.04873436276,0.4477887792
politeness-correction-087,0.4659139579,0.2170758162,0.3770167195
politeness-criticism-or-feedback-023,0.4739321767,0.2246117081,0.1760368279
politeness-criticism-or-feedback-036,0.3302526039,0.1090667824,0.4615119067
politeness-criticism-or-feedback-041,0.2488148712,0.06190884015,0.2183210276
politeness-criticism-or-feedback-050,0.4740105453,0.2246859971,0.4709147572
politeness-criticism-or-feedback-054,0.3396395876,0.1153550495,0.3743099038
politeness-criticism-or-feedback-071,0.3612607541,0.1305093325,0.5063608483
politeness-criticism-or-feedback-099,0.5349319063,0.2861521444,0.4217219919
politeness-criticism-or-feedback-100,0.4273241082,0.1826058935,0.2975295329
politeness-disagreement-012,0.4600751608,0.2116691536,0.2071150367
politeness-disagreement-035,0.4358894126,0.1899995801,0.1955268589
politeness-disagreement-047,0.4384838988,0.1922681295,0.1093364208
politeness-disagreement-048,0.4304785608,0.1853117913,0.408780519
politeness-disagreement-075,0.3132696826,0.09813789401,0.1723707489
politeness-disagreement-086,0.3252737127,0.1058029882,-0.1108348848
politeness-inquiry-sensitive-008,0.4500560244,0.2025504251,0.3115085026
politeness-inquiry-sensitive-009,0.5048914964,0.2549154232,0.3812201941
politeness-inquiry-sensitive-016,0.3571185505,0.1275336591,0.2982282655
politeness-inquiry-sensitive-092,0.1645465986,0.0270755831,0.06948436821
politeness-refusal-038,0.3722438273,0.1385654669,0.2809366258
politeness-refusal-058,0.4916310706,0.2417011095,0.3783205103
politeness-refusal-064,0.5781930398,0.3343071913,0.3045105613
politeness-refusal-069,0.5585947873,0.3120281364,0.02716733984
politeness-refusal-077,0.505852124,0.2558863713,0.3812577503
politeness-refusal-080,0.5462875735,0.2984301129,0.1379993664
politeness-refusal-083,0.4820895511,0.2324103352,0.3263485798
politeness-refusal-090,0.5152160524,0.2654475807,0.3819153373
politeness-reminder-017,0.3761759706,0.1415083609,0.5163904855
politeness-reminder-018,0.5705769635,0.3255580713,0.471719874
politeness-reminder-019,0.591418795,0.3497761911,0.4400687369
politeness-reminder-021,0.4183319579,0.175001627,0.386868121
politeness-reminder-079,0.5180380287,0.2683633992,0.4954986914
politeness-reminder-094,0.3941268219,0.1553359518,0.3518502926
politeness-request-001,0.481713785,0.2320481706,0.2985743001
politeness-request-006,0.5757656288,0.3315060594,0.04006360372
politeness-request-025,0.4243914256,0.1801080821,-0.02439167838
politeness-request-029,0.6800026258,0.4624035711,-0.002772331038
politeness-request-031,0.4479749353,0.2006815427,0.3569742816
politeness-request-037,0.5325438407,0.2836029422,0.3089018963
politeness-request-053,0.401582995,0.1612689018,0.06133325407
politeness-request-056,0.08172567987,0.00667908675,0.1532160965
politeness-request-061,0.3962563835,0.1570191214,0.2166405721
politeness-request-074,0.4007838106,0.1606276629,0.4658189191
politeness-request-093,0.355961795,0.1267087995,0.3272411223
politeness-request-097,0.5394564272,0.2910132368,0.352380057
