scenario_id,cos_valence,capture_valence,cos_bend
politeness-apology-003,0.3983921194,0.1587162808,0.1927511726
politeness-apology-013,0.4685762068,0.2195636615,0.3529874377
politeness-apology-043,0.2818860937,0.07945976981,0.4650434701
politeness-apology-057,0.3648922329,0.1331463417,0.3869456785
politeness-apology-065,0.3595090529,0.1292467591,0.4149204665
politeness-apology-067,0.3522364696,0.1240705305,0.3044181635
politeness-apology-081,0.4518706884,0.204187119,0.362569591
politeness-apology-098,0.4412219555,0.194676814,0.1545638521
politeness-bad-news-delivery-020,0.4758595893,0.2264423488,0.2014959531
politeness-bad-news-delivery-028,0.419531787,0.1760069203,0.6438710241
politeness-bad-news-delivery-066,0.571581412,0.3267053105,0.3378001261
politeness-bad-news-delivery-073,0.3785209654,0.1432781212,0.5323536726
politeness-complaint-030,0.4361696878,0.1902439966,0.7373387843
politeness-complaint-032,0.492171937,0.2422332156,0.6255248197
politeness-complaint-040,0.5614246064,0.3151975886,0.5967136683
politeness-complaint-049,0.4829978658,0.2332869383,0.5182418036
politeness-complaint-063,0.2424151258,0.05876509323,0.1497817289
politeness-complaint-072,0.4962421135,0.2462562352,0.6922930258
politeness-complaint-089,0.5187703204,0.2691226453,0.5183889357
politeness-correction-002,0.3912985564,0.1531145602,0.4393439791
politeness-correction-005,0.3267983305,0.1067971488,0.4168889052
politeness-correction-007,0.2971640804,0.08830649068,0.2640600053
politeness-correction-024,0.5012661544,0.2512677576,0.04659761651
politeness-correction-027,0.2788775961,0.07777271363,0.452641703
politeness-correction-045,0.4992301066,0.2492306993,0.475498241
politeness-correction-051,0.1591740245,0.02533637008,0.3658895907
politeness-correction-076,0.2499985155,0.06249925776,0.5209228217
politeness-correction-087,0.4797214065,0.2301326278,0.390083664
politeness-criticism-or-feedback-023,0.2032221492,0.04129924194,0.1080002302
politeness-criticism-or-feedback-036,0.2215552721,0.04908673859,0.4594479938
politeness-criticism-or-feedback-041,0.2889979056,0.08351978945,0.02351617571
politeness-criticism-or-feedback-050,0.4013092015,0.1610490752,0.5055642356
politeness-criticism-or-feedback-054,0.3132844496,0.09814714639,0.2438069474
politeness-criticism-or-feedback-071,0.3770743626,0.142185075,0.5080642683
politeness-criticism-or-feedback-099,0.4439746272,0.1971134696,0.4504928837
politeness-criticism-or-feedback-100,0.2194107664,0.04814108443,0.1108714884
politeness-disagreement-012,0.3640171693,0.1325084995,0.2828743599
politeness-disagreement-035,0.488898019,0.239021273,0.4123811033
politeness-disagreement-047,0.4091338928,0.1673905422,0.3020734674
politeness-disagreement-048,0.4414660948,0.1948923128,0.5329916066
politeness-disagreement-075,0.2667254813,0.07114248239,0.1346523842
politeness-disagreement-086,0.2792657657,0.07798936789,-0.1045765727
politeness-inquiry-sensitive-008,0.4984226085,0.2484250966,0.3375026443
politeness-inquiry-sensitive-009,0.3995135072,0.1596110425,0.4103438599
politeness-inquiry-sensitive-016,0.1483565602,0.02200966895,0.2514793351
politeness-inquiry-sensitive-092,0.06257401054,0.003915506795,0.0274027565
politeness-refusal-038,0.3192101747,0.1018951356,0.4443154336
politeness-refusal-058,0.3756321353,0.1410995011,0.5222931981
politeness-refusal-064,0.5513989199,0.3040407689,0.3707630128
politeness-refusal-069,0.5609039465,0.3146132371,0.1205875571
politeness-refusal-077,0.3787304628,0.1434367635,0.5795511013
politeness-refusal-080,0.5791003069,0.3353571655,0.09116708134
politeness-refusal-083,0.4283867971,0.1835152479,0.5286865235
politeness-refusal-090,0.483129926,0.2334145254,0.3267987032
politeness-reminder-017,0.2976905416,0.08861965855,0.6233866399
politeness-reminder-018,0.4154350267,0.1725862614,0.6777050966
politeness-reminder-019,0.4549238924,0.2069557478,0.5515902307
politeness-reminder-021,0.3520254285,0.1239219023,0.4676026106
politeness-reminder-079,0.2426886216,0.05889776705,0.6700196017
politeness-reminder-094,0.2024043752,0.04096753108,0.5348128222
politeness-request-001,0.4301104083,0.1849949633,0.4684667207
politeness-request-006,0.422827016,0.1787826854,-0.04913860765
politeness-request-025,0.4079017317,0.1663838227,-0.2531737082
politeness-request-029,0.5998354109,0.3598025201,-0.2545657851
politeness-request-031,0.4966207914,0.2466322105,0.2935726736
politeness-request-037,0.4064634149,0.1652125077,0.3077702193
politeness-request-053,0.3540525113,0.1253531808,-0.002170458396
politeness-request-056,0.1728977647,0.02989363702,-0.1099944752
politeness-request-061,0.3281430323,0.1076778496,0.1474678074
politeness-request-074,0.3608236607,0.1301937141,0.4450902888
politeness-request-093,0.3777268694,0.1426775879,0.4693880816
politeness-request-097,0.35312166,0.1246949068,0.3794482306
