scenario_id,theta1_deg,theta2_deg,overlap
politeness-apology-003,60.33599211,71.34701253,0.1736168251
politeness-apology-013,47.02907681,74.22737104,0.2692509714
politeness-apology-043,60.02411291,70.24337564,0.181948441
politeness-apology-057,70.28462082,74.12322919,0.09432189669
politeness-apology-065,55.85213281,69.74558729,0.2174695376
politeness-apology-067,59.86967221,66.44786232,0.2058196907
politeness-apology-081,54.22141063,71.32237811,0.2221882656
politeness-apology-098,65.4372932,78.48452055,0.1063252292
politeness-bad-news-delivery-020,55.26874173,67.71872554,0.2341737653
politeness-bad-news-delivery-028,47.92604489,76.21238083,0.2529088851
politeness-bad-news-delivery-066,45.73942903,68.64655697,0.3098397095
politeness-bad-news-delivery-073,48.79032643,67.63982941,0.2893821532
politeness-complaint-030,52.42612096,60.75159023,0.3052817278
politeness-complaint-032,44.81057258,67.10041741,0.3273591669
politeness-complaint-040,45.49052446,59.48346143,0.3746434214
politeness-complaint-049,46.3315379,52.12558989,0.4268410105
politeness-complaint-063,50.1504898,71.66109505,0.2547934812
politeness-complaint-072,55.31641291,56.83586993,0.3115315075
politeness-complaint-089,43.19817523,57.85111475,0.4072899858
politeness-correction-002,53.17488677,70.31543341,0.2363560486
politeness-correction-005,63.90586857,67.26610914,0.1714052174
politeness-correction-007,63.53197206,74.43145398,0.1353403834
politeness-correction-024,51.84999892,66.93363166,0.2675429679
politeness-correction-027,59.51607503,88.11774969,0.1292143367
politeness-correction-045,49.06009341,53.72509022,0.3897183877
politeness-correction-051,62.21505607,68.87575245,0.173590911
politeness-correction-076,57.61333875,72.40983506,0.1891141784
politeness-correction-087,55.82470811,75.7212077,0.1881841425
politeness-criticism-or-feedback-023,59.54299803,86.85519372,0.1299743409
politeness-criticism-or-feedback-036,55.03112717,72.62775092,0.2088143435
politeness-criticism-or-feedback-041,61.94630071,75.0516428,0.1438591854
politeness-criticism-or-feedback-050,55.65537878,64.82766781,0.2496015003
politeness-criticism-or-feedback-054,54.06674373,73.91677412,0.2105657611
politeness-criticism-or-feedback-071,48.0326212,77.36884583,0.2474939148
politeness-criticism-or-feedback-099,56.20966064,67.49464249,0.2279108347
politeness-criticism-or-feedback-100,58.61613689,75.23820677,0.1680620603
politeness-disagreement-012,59.07066955,84.97210348,0.1359283979
politeness-disagreement-035,51.41422995,85.70282945,0.1972990023
politeness-disagreement-047,58.08974146,82.12858541,0.1490815686
politeness-disagreement-048,56.56570472,65.70628151,0.2364205937
politeness-disagreement-075,62.15010553,80.55087534,0.1225939131
politeness-disagreement-086,62.75746162,87.87972616,0.1054556556
politeness-inquiry-sensitive-008,57.8150739,66.06605739,0.2241493472
politeness-inquiry-sensitive-009,49.72316352,64.31845159,0.3028733896
politeness-inquiry-sensitive-016,54.30171307,62.71403768,0.2753258739
politeness-inquiry-sensitive-092,66.28462255,82.08822038,0.09035332289
politeness-refusal-038,57.37891953,65.47156956,0.2314765729
politeness-refusal-058,54.89342543,60.58689459,0.2859605903
politeness-refusal-064,48.91714412,62.94743039,0.3193479623
politeness-refusal-069,54.05775967,62.71376666,0.2773483272
politeness-refusal-077,51.8135735,63.93688606,0.2876183679
politeness-refusal-080,52.90875461,61.64339807,0.2946488818
politeness-refusal-083,58.42326732,73.5118013,0.1773757021
politeness-refusal-090,48.07712515,58.46921902,0.3599404008
politeness-reminder-017,57.84110522,64.42969387,0.2348023603
politeness-reminder-018,46.87366184,56.28531551,0.3877053583
politeness-reminder-019,55.80938652,65.23660449,0.2456196016
politeness-reminder-021,54.57628097,64.99480283,0.2573166839
politeness-reminder-079,54.35839265,71.48598588,0.2201921285
politeness-reminder-094,55.83494493,67.81128035,0.2289983625
politeness-request-001,58.54909617,60.8485103,0.2547639427
politeness-request-006,46.76874554,64.2830485,0.3287203261
politeness-request-025,56.20233311,66.52465229,0.234056718
politeness-request-029,47.65910378,65.78837009,0.3109226031
politeness-request-031,49.20896062,62.96135809,0.3167285199
politeness-request-037,48.1952803,59.98508658,0.3472864229
politeness-request-053,62.2034575,77.29832247,0.132905811
politeness-request-056,65.62127889,73.0440341,0.1277139327
politeness-request-061,50.24495481,60.97395161,0.3221974225
politeness-request-074,58.25927489,67.87122517,0.2093256199
politeness-request-093,62.94686946,75.12313294,0.1363874231
politeness-request-097,48.60483508,60.8865921,0.3369853388
