scenario_id,cos_valence,capture_valence,cos_bend
politeness-apology-003,0.3954679696,0.156394915,0.2083060552
politeness-apology-013,0.4817693471,0.2321017038,0.3736015483
politeness-apology-043,0.3140530112,0.09862929383,0.5051340118
politeness-apology-057,0.4336026521,0.1880112599,0.3845144883
politeness-apology-065,0.3318687252,0.1101368508,0.4964113771
politeness-apology-067,0.4060656078,0.1648892778,0.3219510306
politeness-apology-081,0.5052828653,0.255310774,0.3942859202
politeness-apology-098,0.4207509683,0.1770313773,0.1650147912
politeness-bad-news-delivery-020,0.4592402218,0.2109015813,0.1985750858
politeness-bad-news-delivery-028,0.4168111728,0.1737315538,0.6282902761
politeness-bad-news-delivery-066,0.6033924712,0.3640824742,0.3822841502
politeness-bad-news-delivery-073,0.3486726502,0.121572617,0.5049846711
politeness-complaint-030,0.388213206,0.1507094933,0.7566190488
politeness-complaint-032,0.4574947766,0.2093014706,0.611247999
politeness-complaint-040,0.5319144297,0.2829329605,0.6286336863
politeness-complaint-049,0.4916959068,0.2417648647,0.5580990817
politeness-complaint-063,0.1925359766,0.03707010229,0.1610788171
politeness-complaint-072,0.4941319879,0.2441664215,0.7028328659
politeness-complaint-089,0.4773759547,0.2278878021,0.5652796342
politeness-correction-002,0.4790568711,0.2294954858,0.5040978227
politeness-correction-005,0.3649145938,0.1331626608,0.4643854143
politeness-correction-007,0.3380338429,0.114266879,0.2631028891
politeness-correction-024,0.5726483711,0.3279261569,0.1518525123
politeness-correction-027,0.2978861127,0.08873613613,0.4444513539
politeness-correction-045,0.5416996487,0.2934385095,0.4679515665
politeness-correction-051,0.1952666625,0.03812906949,0.3825044957
politeness-correction-076,0.1799231322,0.03237233351,0.541553778
politeness-correction-087,0.4172743829,0.1741179107,0.4350822458
politeness-criticism-or-feedback-023,0.2221267632,0.04934029894,0.1821663048
politeness-criticism-or-feedback-036,0.2498378103,0.06241893145,0.5123100692
politeness-criticism-or-feedback-041,0.3020032843,0.0912059837,0.06993512664
politeness-criticism-or-feedback-050,0.4103495056,0.1683867167,0.5393888111
politeness-criticism-or-feedback-054,0.2904511194,0.08436185274,0.2731353902
politeness-criticism-or-feedback-071,0.3743660721,0.1401499559,0.515714177
politeness-criticism-or-feedback-099,0.4692591043,0.220204107,0.4609842099
politeness-criticism-or-feedback-100,0.2720448839,0.07400841884,0.1097121807
politeness-disagreement-012,0.35148883,0.1235443976,0.2390988259
politeness-disagreement-035,0.4817059172,0.2320405907,0.3612827586
politeness-disagreement-047,0.3901522804,0.1522188019,0.243601173
politeness-disagreement-048,0.4490054239,0.2016058707,0.5519712675
politeness-disagreement-075,0.2203258139,0.04854346425,0.1260782976
politeness-disagreement-086,0.2240329657,0.05019076972,-0.1443014372
politeness-inquiry-sensitive-008,0.5190596938,0.2694229657,0.380568387
politeness-inquiry-sensitive-009,0.4290339083,0.1840700945,0.4700844859
politeness-inquiry-sensitive-016,0.157298411,0.02474279009,0.3037939472
politeness-inquiry-sensitive-092,0.09830302246,0.009663484225,0.07333171088
politeness-refusal-038,0.3235896686,0.1047102736,0.47766589
politeness-refusal-058,0.361519473,0.1306963293,0.5686477467
politeness-refusal-064,0.5785777455,0.3347522076,0.3599312567
politeness-refusal-069,0.5945843149,0.3535305075,0.08695744102
politeness-refusal-077,0.4113688785,0.1692243542,0.6087975829
politeness-refusal-080,0.6297567413,0.3965935532,0.1711371374
politeness-refusal-083,0.4505736201,0.2030165871,0.4851712051
politeness-refusal-090,0.45827753,0.2100182945,0.3649035845
politeness-reminder-017,0.2852261761,0.08135397155,0.5930177062
politeness-reminder-018,0.4644455698,0.2157096873,0.6653827597
politeness-reminder-019,0.5083844846,0.2584547842,0.6120413055
politeness-reminder-021,0.3526572898,0.1243671641,0.4193080653
politeness-reminder-079,0.2517192858,0.06336259887,0.6657710636
politeness-reminder-094,0.2094326975,0.04386205477,0.5453003232
politeness-request-001,0.4544455711,0.2065207771,0.4966183671
politeness-request-006,0.4608126614,0.2123483089,-0.07393839955
politeness-request-025,0.4086432745,0.1669893258,-0.2710514265
politeness-request-029,0.5782394275,0.3343608355,-0.2629981015
politeness-request-031,0.5073864024,0.2574409613,0.2784145586
politeness-request-037,0.40892029,0.1672158036,0.2820553657
politeness-request-053,0.3587186389,0.1286790619,-0.01705263568
politeness-request-056,0.1904291417,0.03626325802,-0.08221743715
politeness-request-061,0.3457687382,0.1195560203,0.1585943128
politeness-request-074,0.2571917702,0.06614760668,0.4598228198
politeness-request-093,0.4604669562,0.2120298177,0.4480865528
politeness-request-097,0.400148879,0.1601191253,0.4038566896
