scenario_id,scenario_title,level,x,y
politeness-refusal-080,080,negative,-11.62428418,-0.2841498969
politeness-refusal-080,080,neutral,1.703071673,0.997909612
politeness-refusal-080,080,positive,9.921212511,-0.7137597151
politeness-apology-013,013,negative,-12.05387669,10.36367206
politeness-apology-013,013,neutral,5.241174037,-6.855601554
politeness-apology-013,013,positive,6.812702657,-3.508070505
politeness-criticism-or-feedback-054,or-feedback-054,negative,-8.765208278,8.390819029
politeness-criticism-or-feedback-054,or-feedback-054,neutral,4.84002766,-9.335914443
politeness-criticism-or-feedback-054,or-feedback-054,positive,3.925180618,0.9450954135
politeness-disagreement-048,048,negative,-10.40623778,7.128273543
politeness-disagreement-048,048,neutral,3.478270059,-10.62215882
politeness-disagreement-048,048,positive,6.927967723,3.49388528
politeness-correction-005,005,negative,-12.97324608,-4.676626654
politeness-correction-005,005,neutral,3.492365525,-7.991664027
politeness-correction-005,005,positive,9.480880558,12.66829068
politeness-complaint-030,030,negative,-11.49027422,4.856587039
politeness-complaint-030,030,neutral,-0.1318696949,-18.39685825
politeness-complaint-030,030,positive,11.62214392,13.54027121
politeness-complaint-072,072,negative,-13.17661878,4.355421263
politeness-complaint-072,072,neutral,5.384795239,-10.28411632
politeness-complaint-072,072,positive,7.791823545,5.92869506
politeness-apology-043,043,negative,-10.81696165,-0.004262408914
politeness-apology-043,043,neutral,6.724054175,-11.22051687
politeness-apology-043,043,positive,4.092907477,11.22477928
politeness-refusal-038,038,negative,-9.563490552,5.947995464
politeness-refusal-038,038,neutral,3.158486221,-5.942131374
politeness-refusal-038,038,positive,6.405004331,-0.005864090117
politeness-reminder-019,019,negative,-10.09392925,5.365082247
politeness-reminder-019,019,neutral,1.850901497,-8.569971414
politeness-reminder-019,019,positive,8.243027749,3.204889167
politeness-request-037,037,negative,-10.98379932,6.808034176
politeness-request-037,037,neutral,4.362664986,-2.859516078
politeness-request-037,037,positive,6.621134331,-3.948518098
politeness-apology-067,067,negative,-6.972107467,5.58314566
politeness-apology-067,067,neutral,2.56024049,-3.908158831
politeness-apology-067,067,positive,4.411866977,-1.674986829
