scenario_id,scenario_title,level,x,y
politeness-refusal-080,080,negative,-15.56179181,-9.480885962
politeness-refusal-080,080,neutral,-0.4572906996,12.00716729
politeness-refusal-080,080,positive,16.01908251,-2.52628133
politeness-apology-013,013,negative,-17.40666271,-17.95022209
politeness-apology-013,013,neutral,3.948596874,10.83049785
politeness-apology-013,013,positive,13.45806583,7.119724243
politeness-criticism-or-feedback-054,or-feedback-054,negative,-10.14819248,-10.37705172
politeness-criticism-or-feedback-054,or-feedback-054,neutral,3.374151177,15.54329243
politeness-criticism-or-feedback-054,or-feedback-054,positive,6.774041306,-5.166240706
politeness-disagreement-048,048,negative,-13.23411943,-2.371882787
politeness-disagreement-048,048,neutral,2.822817443,8.985552693
politeness-disagreement-048,048,positive,10.41130199,-6.613669906
politeness-correction-005,005,negative,-10.53362107,-0.03774320132
politeness-correction-005,005,neutral,1.70044634,5.88968183
politeness-correction-005,005,positive,8.833174727,-5.851938629
politeness-complaint-030,030,negative,-12.19774847,-7.168223502
politeness-complaint-030,030,neutral,-8.241841196,23.08525706
politeness-complaint-030,030,positive,20.43958967,-15.91703356
politeness-complaint-072,072,negative,-14.9172933,-3.99740568
politeness-complaint-072,072,neutral,4.312439633,17.13438502
politeness-complaint-072,072,positive,10.60485367,-13.13697934
politeness-apology-043,043,negative,-15.72579098,-3.733043111
politeness-apology-043,043,neutral,1.403863075,8.087424253
politeness-apology-043,043,positive,14.3219279,-4.354381142
politeness-refusal-038,038,negative,-16.15926609,-5.897776137
politeness-refusal-038,038,neutral,7.122022813,9.292614937
politeness-refusal-038,038,positive,9.037243273,-3.3948388
politeness-reminder-019,019,negative,-13.967609,-7.056027942
politeness-reminder-019,019,neutral,0.5248832186,10.8977543
politeness-reminder-019,019,positive,13.44272578,-3.841726354
politeness-request-037,037,negative,-17.96197776,1.476139533
politeness-request-037,037,neutral,4.849864372,8.790801106
politeness-request-037,037,positive,13.11211338,-10.26694064
politeness-apology-067,067,negative,-9.789370263,-9.2804077
politeness-apology-067,067,neutral,-0.9492344614,13.80936223
politeness-apology-067,067,positive,10.73860472,-4.528954525
