scenario_id,midpoint_residual,pc1_frac
politeness-apology-003,0.6923458156,0.6791706783
politeness-apology-013,0.6793183987,0.6928050188
politeness-apology-043,0.6685104315,0.6359755267
politeness-apology-057,0.5733569004,0.8110634162
politeness-apology-065,0.7602796037,0.5860978367
politeness-apology-067,0.8896202628,0.5381474822
politeness-apology-081,0.6804302837,0.7524135309
politeness-apology-098,0.7362871209,0.7258423373
politeness-bad-news-delivery-020,0.8402276061,0.5842314961
politeness-bad-news-delivery-028,0.6152031586,0.7727005977
politeness-bad-news-delivery-066,0.7623032656,0.7692926615
politeness-bad-news-delivery-073,0.7405899154,0.7775897817
politeness-complaint-030,0.8986906772,0.5185512787
politeness-complaint-032,0.7524298957,0.7698708127
politeness-complaint-040,0.7565796117,0.7694652463
politeness-complaint-049,0.7842746962,0.5823829856
politeness-complaint-063,0.5365794363,0.7238377238
politeness-complaint-072,0.7247715721,0.6728795644
politeness-complaint-089,0.6861693826,0.6743654134
politeness-correction-002,0.7313539763,0.7380981573
politeness-correction-005,0.5578919286,0.7174753797
politeness-correction-007,0.9535068658,0.5502568206
politeness-correction-024,0.6666274486,0.7949217736
politeness-correction-027,0.6713500416,0.7419745748
politeness-correction-045,0.8716052475,0.6022386835
politeness-correction-051,0.5597520983,0.7243686529
politeness-correction-076,0.6930734288,0.7411628768
politeness-correction-087,0.8354748914,0.5363201361
politeness-criticism-or-feedback-023,0.8861576714,0.5195520468
politeness-criticism-or-feedback-036,0.6354192309,0.7628601596
politeness-criticism-or-feedback-041,0.6317860899,0.6600766255
politeness-criticism-or-feedback-050,0.6167300442,0.747315315
politeness-criticism-or-feedback-054,0.8245465991,0.6666543962
politeness-criticism-or-feedback-071,0.9225010265,0.5744772976
politeness-criticism-or-feedback-099,0.7384933014,0.6605200356
politeness-criticism-or-feedback-100,0.7150280392,0.7514067585
politeness-disagreement-012,0.6472134963,0.6459859757
politeness-disagreement-035,0.8487750549,0.5174162934
politeness-disagreement-047,0.612083134,0.6814573372
politeness-disagreement-048,0.893676098,0.5863567587
politeness-disagreement-075,0.7565468686,0.6786726226
politeness-disagreement-086,0.7316421147,0.6097077086
politeness-inquiry-sensitive-008,0.807334667,0.6156994338
politeness-inquiry-sensitive-009,0.7352302454,0.5822510007
politeness-inquiry-sensitive-016,0.7994807629,0.5862473548
politeness-inquiry-sensitive-092,0.5842224162,0.6875947442
politeness-refusal-038,0.63256289,0.7741467986
politeness-refusal-058,0.6601973488,0.6824997998
politeness-refusal-064,0.7503526256,0.5755793425
politeness-refusal-069,0.6057198979,0.6716186949
politeness-refusal-077,0.7768274428,0.6167313687
politeness-refusal-080,0.7136344745,0.6120999649
politeness-refusal-083,0.7638974446,0.6077700378
politeness-refusal-090,0.6183448888,0.6677412796
politeness-reminder-017,0.6842392811,0.621556216
politeness-reminder-018,0.8339358212,0.5667814743
politeness-reminder-019,0.7953846187,0.5916561854
politeness-reminder-021,0.7180375937,0.7626327331
politeness-reminder-079,0.773891731,0.5995695392
politeness-reminder-094,0.7874730727,0.7897382278
politeness-request-001,0.5112482337,0.8124280299
politeness-request-006,0.807554252,0.5382467745
politeness-request-025,0.9208917342,0.6035653289
politeness-request-029,0.6386646177,0.7187135052
politeness-request-031,0.6807772243,0.7339144553
politeness-request-037,0.6360434129,0.7139700838
politeness-request-053,0.4960778477,0.8363817221
politeness-request-056,0.7148716834,0.620413949
politeness-request-061,0.4578241449,0.7909167508
politeness-request-074,0.748071709,0.6055279053
politeness-request-093,0.7438872501,0.6241142678
politeness-request-097,0.8306130737,0.5992186206
